[00:00.000 --> 00:02.000]  We've got it
[01:45:42.280 --> 01:45:49.000]  seems like nobody does care and right now in washington dc we have seen a fall of the republic
[01:45:49.000 --> 01:45:55.800]  get your copy of fall of the republic on dvd at infowars.com or watching online right now
[01:45:55.800 --> 01:46:03.080]  in super high quality at prisonplanet.tv hi this is alex jones did you know that the global elite
[01:46:03.080 --> 01:46:07.480]  are now storing non-hybrid seeds and secret storage vaults near the arctic circle did you
[01:46:07.480 --> 01:46:12.120]  know that in a real meltdown non-hybrid seeds can become more valuable than silver or gold
[01:46:12.120 --> 01:46:16.200]  it's true seeds have outperformed even gold and silver before in this country and it's possible
[01:46:16.200 --> 01:46:20.680]  that could even happen again so our friends at solutions from science have put together the
[01:46:20.680 --> 01:46:26.920]  perfect mix of non-hybrid seeds they call it a survival seed bank and it can produce an endless
[01:46:26.920 --> 01:46:31.800]  supply of nutrient dense food for you and your family and here's the best part these seeds have
[01:46:31.800 --> 01:46:36.840]  not been genetically modified in any way and you actually get enough seeds to plant a full acre
[01:46:36.840 --> 01:46:43.160]  crisis garden so visit them today at survivalseedbank.com that's survivalseedbank.com
[01:46:43.160 --> 01:46:54.360]  or give them a call at 877-327-0365 that's 877-327-0365 remember in a real crisis
[01:46:54.360 --> 01:46:59.400]  non-hybrid seeds are the ultimate barter item this is alex jones for survivalseedbank.com
[01:46:59.400 --> 01:47:08.440]  coast to coast direct from austin you're listening to the alex jones broadcasting network
[01:47:13.640 --> 01:47:20.120]  defending the republic from enemies foreign and domestic it's alex jones
[01:47:22.040 --> 01:47:26.040]  all right i got about 20 phone calls here i'm gonna give each person about a minute
[01:47:26.040 --> 01:47:31.640]  we'll get about 10 or 11 in during this segment i meant to get into the great internet wars have
[01:47:31.640 --> 01:47:37.160]  begun an article by kurt nemo and myself i'll cover it more tomorrow on the weekday show because
[01:47:37.160 --> 01:47:42.440]  it isn't just about the internet and and and freedom of the web that's under attack it's the
[01:47:42.440 --> 01:47:51.320]  entire technological infrastructure that's having back doors and trojan horses built into it we're
[01:47:51.320 --> 01:47:56.520]  going to document that tomorrow 11 am central 12 noon eastern if you don't have a local am or fm
[01:47:56.520 --> 01:48:03.320]  in your area info wars.com is the website uh nate in california you're on the air hey alex how you
[01:48:03.320 --> 01:48:09.640]  doing buddy good yeah so yeah i'd like to talk about maybe the tv um i think that's a big problem
[01:48:09.640 --> 01:48:14.600]  obviously they they sold it to us back when they first invented it as you know they'd have all
[01:48:14.600 --> 01:48:20.440]  wholesome shows on and it was good we could trust it and then now if you look at it it's obviously
[01:48:20.440 --> 01:48:27.400]  promoting 180 degree difference and i think that is where a huge problem but it's more than that
[01:48:27.400 --> 01:48:35.400]  it puts people into a mesmerized near sleep state it's a quasi waking sleeping dream state
[01:48:36.120 --> 01:48:43.640]  similar to hypnotism yeah yeah you realize the brainwaves overall uh the average person is in
[01:48:43.640 --> 01:48:48.920]  a lower brainwave state than they were before television was invented i mean people are actually
[01:48:48.920 --> 01:48:54.600]  in a trance that's why they won't listen to you yep and it's sad one one thing about ron paul if
[01:48:54.600 --> 01:49:00.680]  i could um i believe he's the only one that is electable because yeah if newt gingrich or
[01:49:00.680 --> 01:49:05.800]  romney gets in he's only going to get the far extreme right i mean we need somebody like ron
[01:49:05.800 --> 01:49:10.600]  paul that's going to get a democrat and an independent and a republican so well you're
[01:49:10.600 --> 01:49:15.400]  right you're right nate the polls show that ron paul does better than any other republican
[01:49:15.400 --> 01:49:21.640]  candidate head-to-head gallop and others show this against obama but more than that
[01:49:22.760 --> 01:49:26.520]  he's the only real candidate that isn't bought and paid for by the globalist
[01:49:27.480 --> 01:49:32.200]  right yeah i know i i see that 100 but i'm just trying i try to tell that to newt gingrich
[01:49:32.200 --> 01:49:37.400]  supporters you know and all that kind of thing but sure i hear you i'm going to jump good points
[01:49:37.400 --> 01:49:42.200]  the average talk show host just repeats the talking point that ron paul can't win
[01:49:42.200 --> 01:49:46.760]  as a self-fulfilling prophecy and thinks that they're a winner because they go along with the
[01:49:46.760 --> 01:49:51.320]  propaganda that he can't win and then when he doesn't win they're satisfied and feel like
[01:49:51.320 --> 01:49:56.760]  they're winners and that's a self-fulfilling prophecy of fraud and ron paul's really freaked
[01:49:56.760 --> 01:50:02.040]  him out being in second place in most polls uh the fact that he's basically bucked all that
[01:50:02.040 --> 01:50:07.720]  but it's a manifestation of the awakening great points nate robbie in new york here on the year
[01:50:07.720 --> 01:50:14.360]  hey how you doing alex good uh yeah newt gingrich just kind of came out of nowhere
[01:50:14.360 --> 01:50:19.960]  uh last night didn't he with the uh primary there yeah we've got an article in infowars.com
[01:50:19.960 --> 01:50:25.400]  concerning what looks like fraud we know iowa was fraud that's in their local papers now that
[01:50:25.400 --> 01:50:30.680]  uh the iowa thing is completely in the air and um carl rove says they're going to have a gentleman's
[01:50:30.680 --> 01:50:37.960]  agreement on who gets the delegates so yeah uh and and it's funny they put paul down in fourth
[01:50:37.960 --> 01:50:43.480]  as if as if somehow santorum romney and gingrich all all managed to beat him i don't believe that
[01:50:43.480 --> 01:50:48.200]  for one for one second you know well we've had top elections experts on and they say south
[01:50:48.200 --> 01:50:55.560]  carolina is just fraud central yep but uh one more thing uh it looks like uh isa you know how
[01:50:55.560 --> 01:51:03.160]  isa you know how he's a former atf uh head he uh he's kind of acting like he's you know want
[01:51:03.800 --> 01:51:09.000]  he's he's trying to act like he's actually trying to get some answers but at the same time you know
[01:51:09.560 --> 01:51:12.920]  he's trying to protect you know the past administration and whatnot so
[01:51:13.640 --> 01:51:18.600]  he's putting up a show that he's actually trying to prosecute these guys and at the same time he's
[01:51:18.600 --> 01:51:25.320]  not really he's not really doing anything about it you know i mean i don't know look look look
[01:51:25.320 --> 01:51:32.840]  look i said months before it was announced that is uh what was going to have to basically stop
[01:51:32.840 --> 01:51:40.120]  his investigation because fast and furious under other names was going on under bush under clinton
[01:51:42.440 --> 01:51:46.360]  iran contra wasn't the first time our government shipped guns out and drugs in
[01:51:47.080 --> 01:51:53.560]  they shipped the guns out to the to the gangs to control the supply it's 500 billion dollars a year
[01:51:53.560 --> 01:51:57.800]  the big banks wander it the government brings it in and the only people they shut down are
[01:51:57.800 --> 01:52:03.000]  the small cartels that don't launder their money through them they made drugs illegal our government
[01:52:03.000 --> 01:52:08.680]  made drugs illegal in the 30s because alcohol prohibition had ended and the corrupt government
[01:52:08.680 --> 01:52:14.040]  had made so much money off alcohol prohibition they wanted something new and and and and again
[01:52:14.040 --> 01:52:20.280]  by having an illegal at jacks the price is up a but more importantly b it allows them to send the
[01:52:20.280 --> 01:52:24.440]  police after their competition great points i appreciate your call and of course he's getting
[01:52:24.440 --> 01:52:30.360]  the point of federal prosecutors taking the fifth amendment in fast and furious probe and nothing's
[01:52:30.360 --> 01:52:36.200]  going to happen to them folks they they did what they were told i mean the u.s government doesn't
[01:52:36.200 --> 01:52:41.080]  just run drugs they run kidnap kids and if you don't know about that just just type it in i mean
[01:52:41.080 --> 01:52:46.680]  there's congressional hearings and i've watched congressional c-span where congress people say
[01:52:46.680 --> 01:52:51.080]  well this this company kidnaps little kids and they go yes they do and they're allowed to
[01:52:51.800 --> 01:52:57.960]  and they go no one gets in trouble they go nope i mean it's it's you can type that in rumsfeld
[01:52:57.960 --> 01:53:03.960]  questioned on child sex trafficking type that into youtube and he goes nope they don't get in trouble
[01:53:05.240 --> 01:53:11.080]  and the congress people go so nothing's gonna happen he goes nope and they go okay i mean
[01:53:11.800 --> 01:53:15.240]  they're gonna bring the drugs in they're gonna put cancer viruses in your shots
[01:53:15.240 --> 01:53:16.600]  they're gonna do whatever they want
[01:53:19.400 --> 01:53:23.400]  i mean have you not figured this out yet they do what they want because you're naive
[01:53:24.600 --> 01:53:28.680]  people say well then why are you still alive because if they kill me it highlights everything
[01:53:28.680 --> 01:53:34.840]  i've said it puts an exclamation point behind it and they still might and quite frankly i don't
[01:53:34.840 --> 01:53:39.640]  want to die but i don't care i'll never commit suicide i'll tell you that but i mean you know
[01:53:39.640 --> 01:53:44.840]  somebody's going to stand up to this scum and let me explain why they're so evil once the system
[01:53:44.840 --> 01:53:49.960]  gets criminal across the board one group of criminals can't tell the other group hey you're
[01:53:49.960 --> 01:53:55.880]  going too far because the other group will say hey you're involved in crime i'll rat you out if
[01:53:55.880 --> 01:54:03.400]  you go public so once you get a systemically corrupt society the sky's the limit they can't
[01:54:03.400 --> 01:54:10.040]  tell du weapons lobbyists hey this wasn't used until 1990 it kills all our troops that use it
[01:54:10.040 --> 01:54:14.920]  may take 20 years but it kills them you can't use that they go hey you're running drugs and kidnapping
[01:54:14.920 --> 01:54:21.880]  kids shut up yeah but uh we're gonna have to pay for insurance claims on all these troops don't
[01:54:21.880 --> 01:54:28.200]  worry we'll have a department of justice agreement letter 1998 that you don't have to give any of the
[01:54:28.200 --> 01:54:33.800]  dead troops any of their death benefits that's ap bloomberg i mean so the whole thing starts
[01:54:33.800 --> 01:54:44.040]  crumbling where the criminals just go party time and they go wild and that's now happened and you
[01:54:44.040 --> 01:54:49.640]  i look at the naive public i mean they're helpless i'm in stores and places and i look at these
[01:54:49.640 --> 01:54:53.320]  fathers who are wearing their tough guy shirts with their kids i went to the pet store today
[01:54:53.320 --> 01:54:58.280]  and i was watching dads walking around looking at other men with their eyes i'm powerful you know
[01:54:58.280 --> 01:55:03.240]  how powerful i am i'm like are you powerful enough to know what's going on in your food and water
[01:55:03.240 --> 01:55:07.800]  are you powerful enough to admit there's big evil people above you and that you're not just
[01:55:07.800 --> 01:55:12.280]  strutting around here in the fish section of the place acting tough okay pal
[01:55:16.200 --> 01:55:21.960]  i see these arrested development men it just makes me want to throw up and their eyes are so weak
[01:55:23.160 --> 01:55:28.040]  i wish they would face reality i wish they'd become real men i mean how can a man hear this
[01:55:28.040 --> 01:55:32.040]  stuff how can listeners hear what i've said today new listeners and not go check out everything i've
[01:55:32.040 --> 01:55:36.920]  said if there was one chance in a million it was true you'd look it up unfortunately it's all true
[01:55:36.920 --> 01:55:43.960]  and worse than i can even tell you oh we got jason carl john ken john chris jeff wyatt teeny
[01:55:45.640 --> 01:55:50.760]  john let's go to teeny with a name like that teeny in indiana where the atf ships guns to
[01:55:50.760 --> 01:55:55.560]  drug gangs to kill their opposition that came out in federal court how are you doing up there oh
[01:55:55.560 --> 01:56:01.720]  i'm doing fine how are you doing oh i'm just wonderful you look good i'm watching you well
[01:56:01.720 --> 01:56:06.760]  thank you ma'am it's always nice to have a woman tell me i look good i appreciate that you always
[01:56:06.760 --> 01:56:14.360]  have nice clothes on well thank you anyways i wanted to tell you i've got a new thing for
[01:56:14.360 --> 01:56:24.600]  the prostitutes it's educated stupid prostitutes educated because they went to school stupid
[01:56:24.600 --> 01:56:31.320]  because they're too stupid to leave their pimps that's a good name uh but i mean i think i'm
[01:56:31.320 --> 01:56:38.680]  going to steal ran paul uh wayne paul brother ron paul's term the sewer line media or the sewer
[01:56:38.680 --> 01:56:44.440]  stream media because we already think of them as mainstream no they're the sewer stream i
[01:56:44.440 --> 01:56:49.400]  appreciate your information they're good to hear from you uh let's go ahead and talk to jason in
[01:56:49.400 --> 01:56:54.680]  texas jason you're on the air i appreciate you putting up with me brother i'm doing good
[01:56:54.680 --> 01:57:00.920]  all righty uh i got one little data point uh just recently i watched the new planet of the
[01:57:00.920 --> 01:57:06.280]  apes movie the rise of the apes yeah it's about a bioweapon yeah yeah and they had some sort of
[01:57:06.280 --> 01:57:12.840]  mistake there at the bio lab and one of the attendants and everybody dies after the credits
[01:57:12.840 --> 01:57:18.760]  it shows the map of all everyone on earth dying isn't it beautiful but you can kind of see the
[01:57:18.760 --> 01:57:27.240]  thinly veiled propaganda where like the apes are safe and then they come out from the destructive
[01:57:27.240 --> 01:57:32.360]  civilization and they become the new rulers of the world and if you notice you're right in the
[01:57:32.360 --> 01:57:38.760]  background the astronauts have launched that's 2001 space odyssey they're gonna come back yeah
[01:57:38.760 --> 01:57:43.000]  that gets into illuminati stuff that's pretty deep there god bless you sorry to all the other callers
[01:57:43.000 --> 01:57:49.640]  love you back tomorrow god willing 11 a.m central great job to the crew prisonplanet.tv
