[00:00.000 --> 00:10.000]  So
[1:16:30.080 --> 1:16:33.080]  I said to the lady, I said, do you like that? What do you think about that?
[1:16:33.080 --> 1:16:40.080]  And she goes, I think it's great. It's the lady that works here. And I forgot to tell her, oh, so you like something that's going to make you lose your job.
[1:16:40.080 --> 1:16:45.080]  And plus in a few years, you'll just have transponders in your cars to make sure you've paid your taxes.
[1:16:45.080 --> 1:16:47.080]  It's Pandora's box.
[1:16:47.080 --> 1:16:51.080]  But hey, it's a great idea. We're going to be slaves. I love it.
[1:16:51.080 --> 1:16:57.080]  I'm scanning your Intessing Prodivers licenses. It's just great. I'm excited.
[1:16:57.080 --> 1:17:03.080]  Let's get back on the road. Go pay more tolls and have transponders.
[1:17:12.080 --> 1:17:23.080]  I'm standing at about the point where Timothy McVeigh supposedly parked the truck bomb, the fuel oil fertilizer bomb that destroyed the Murrow building.
[1:17:23.080 --> 1:17:28.080]  Since April 19, 1995, masses of evidence have come out.
[1:17:28.080 --> 1:17:32.080]  People have seen the newscast from the first day where they reported multiple bombs.
[1:17:32.080 --> 1:17:36.080]  Experts like General Benton Parton, ex-head of Air Force Weapons Development.
[1:17:36.080 --> 1:17:45.080]  Ted Gunderson, FBI chief, have documented with the U.S. Geological Survey's own seismographs that there were multiple explosions, that the building was blown out,
[1:17:45.080 --> 1:17:51.080]  and that it was impossible for a rider truck filled with even premium grade military explosives to cause that damage.
[1:17:51.080 --> 1:18:01.080]  Now, there was probably a rider truck used as a diversion, and again, that corresponds to the multiple seismograph explosions shown by the state and federal agencies.
[1:18:01.080 --> 1:18:05.080]  But the media has chosen not to report on this. Now, here's the key point.
[1:18:05.080 --> 1:18:11.080]  They told you about a big crater. Newsweek had to show you an illustration because they didn't have any video evidence.
[1:18:11.080 --> 1:18:16.080]  Well, here is the video evidence. A pile of rubble. The building was blown out.
[1:18:16.080 --> 1:18:21.080]  Now, we're fixing to show you some newscast with more conflicting evidence.
[1:18:21.080 --> 1:18:24.080]  There you had the pile of rubble, not a crater.
[1:18:24.080 --> 1:18:36.080]  We want to update our audience that the Justice Department is reporting that a second explosive device has been found in the AP Murrah building in downtown Oklahoma City.
[1:18:36.080 --> 1:18:38.080]  Mike, you're still with us, aren't you?
[1:18:38.080 --> 1:18:49.080]  Yes, I am. And I might tell you, in addition to that, that, in fact, what we were told at the scene a few minutes ago was that, in fact, two different explosive devices were found, in addition to the one that went off.
[1:18:49.080 --> 1:18:50.080]  So a total of three?
[1:18:50.080 --> 1:18:51.080]  A total of three, and of course...
[1:18:51.080 --> 1:19:03.080]  One device was deactivated. Apparently, there's another device, and obviously, whatever did the damage to the Murrah building was a tremendous, very sophisticated explosive device.
[1:19:03.080 --> 1:19:10.080]  Unfortunately, this time, because, as we've told you, two other explosive devices were found and were not detonated, and they were larger.
[1:19:10.080 --> 1:19:15.080]  The first bomb that was in the federal building did go off. It did the damage that you see right there.
[1:19:15.080 --> 1:19:30.080]  The second explosive was found and diffused. The third explosive that was found, and they are working on right now, as we speak, I understand, both the second and third explosives, if you can imagine this, were larger than the first.
[1:19:30.080 --> 1:19:41.080]  What these later devices are doing to the rescue effort, time, is so valuable right now, as they try to get to these people who, perhaps, somehow, are still hanging on.
[1:19:41.080 --> 1:19:45.080]  But there were more bombs set to go off, according to ATF officials.
[1:19:45.080 --> 1:19:59.080]  Only President Clinton and his associates stood to gain from the April 19, 1995 bombing. It created a police state. Thank God, people like Representative Charles Keyes have been standing up against butchers like Reno.
[1:19:59.080 --> 1:20:08.080]  President Clinton just called Frank Keating, Governor Frank Keating, and he says that three FBI anti-terrorist teams are en route to Oklahoma City right now.
[1:20:08.080 --> 1:20:16.080]  I've been able to confirm that it was a car explosion. Now, that word coming to us from Mayor Ron Orrick earlier, 1200 pounds of explosives parked out in front of the federal building.
[1:20:16.080 --> 1:20:18.080]  And ATF has confirmed that as well.
[1:20:18.080 --> 1:20:29.080]  Well, you just saw 180 degree change in the newscast, government line. Here you see a building right across the street, barely even damaged.
[1:20:29.080 --> 1:20:38.080]  And then, as you turn towards the Alfred P. Murrow building right across the street, you see absolute devastation.
[1:20:38.080 --> 1:20:49.080]  And you can't really see what happened here because they hurriedly destroyed the building, the crime scene as quickly as possible, and kept independent examinators and examiners and experts out.
[1:20:49.080 --> 1:20:53.080]  So we'll never really have a true accounting of what happened here.
[1:20:53.080 --> 1:21:00.080]  All I'm calling for is a real investigation. And the people of Oklahoma City have been calling for an investigation.
[1:21:00.080 --> 1:21:11.080]  So you've got ex-military people, politicians, police chiefs, all across the board smell a huge, gigantic, stinking rat.
[1:21:11.080 --> 1:21:21.080]  And it doesn't matter to our government, they're just going to use our children as much as they can in those deaths to get as much gas mileage for big government and police state as they can possibly get.
[1:21:21.080 --> 1:21:26.080]  And I'm telling you something, that is flat wrong.
[1:21:26.080 --> 1:21:33.080]  Eric Whitehurst, who was one of the heads of the FBI Coromelab, saying, resigning and saying that they were manufacturing evidence in this case and others.
[1:21:33.080 --> 1:21:35.080]  Did you ever hear about that?
[1:21:35.080 --> 1:21:45.080]  Yeah, I heard about it. I don't know if one man could have done this, but so far that's the only man we've convicted. So I have to go by the way the courts are.
[1:21:45.080 --> 1:21:53.080]  What do you think about the multiple seismograph evidence from the University of Oklahoma and the U.S. Geological Survey that picked up multiple explosions?
[1:21:53.080 --> 1:22:02.080]  I didn't hear much about that. And I feel sorry for these people. I've got people that live here and they're not too sure what's going on around here.
[1:22:02.080 --> 1:22:11.080]  And I've just been asking people that look like they're knowledgeable. You all familiar with what happened in 1933 in Germany? The Reichstag?
[1:22:11.080 --> 1:22:14.080]  Do you remember that happened to their parliament building?
[1:22:14.080 --> 1:22:24.080]  That's right. Hitler blew that up to make it look like it was the current government.
[1:22:24.080 --> 1:22:34.080]  Yes, he wanted fear, he wanted some terrorism bills and he got them. They didn't really get all the stuff he wanted here in America. Are you familiar with what Nero did in Rome?
[1:22:34.080 --> 1:22:38.080]  Yes, he burned it and that's where we're going right now.
[1:22:38.080 --> 1:22:45.080]  Nice to meet you, Charles. What's your opinion on what's going on in the government right now?
[1:22:45.080 --> 1:22:49.080]  It's too big. The government is too big.
[1:22:49.080 --> 1:22:51.080]  Too big for us to be able to watch.
[1:22:51.080 --> 1:23:00.080]  That's right. They offer in your business, my business and everybody else's business. They tax you to them. That's definite.
[1:23:00.080 --> 1:23:09.080]  They're also trying to run a state's business. Everybody else just got too big.
[1:23:09.080 --> 1:23:12.080]  Fat get fat, rich get rich.
[1:23:12.080 --> 1:23:13.080]  That's it. Charles?
[1:23:13.080 --> 1:23:14.080]  Definitely ain't us.
[1:23:14.080 --> 1:23:20.080]  Charles, how do you feel two and a half years after the tragedy of what happened at the Alfred P. Murrow Federal Building?
[1:23:20.080 --> 1:23:21.080]  It's going to happen again.
[1:23:21.080 --> 1:23:29.080]  And who do you think was involved in that? Do you think it was McVay alone or with others? Or do you think it was the government perhaps trying to scare us into submission?
[1:23:29.080 --> 1:23:36.080]  Oh, he wasn't alone, definite, you know, because you can't know one or two guys pulled that off by themselves, you know.
[1:23:36.080 --> 1:23:43.080]  And for government building to get blew up, you know they're going to know what's going on, you know.
[1:23:43.080 --> 1:23:46.080]  It's more than what it is, most definitely.
[1:23:46.080 --> 1:23:52.080]  It's also kind of funny that that building was so demolished but one right across the street was barely even damaged.
[1:23:52.080 --> 1:23:57.080]  The only way that could happen is that they know the specifics and where to put the bomb at, you know.
[1:23:57.080 --> 1:23:58.080]  Real experts.
[1:23:58.080 --> 1:24:07.080]  That's right, you know, and hey, just like I said, he was, you know, he was an army, you know, he's an army, so of course he's trained in military tactics.
[1:24:07.080 --> 1:24:15.080]  And you just think about it, you know, the way that building was bombed and blew up and the way it, you know, and the way it went up.
[1:24:15.080 --> 1:24:17.080]  Was very professional.
[1:24:17.080 --> 1:24:18.080]  Oh yeah, most definitely.
[1:24:18.080 --> 1:24:24.080]  Do you think that there have been any unanswered questions about what's happened with the bombing?
[1:24:24.080 --> 1:24:27.080]  Do you think the media has done a good job or has tried to find out the truth?
[1:24:27.080 --> 1:24:31.080]  Yeah, I think the media have tried to, but you know, it's covered up, you know.
[1:24:31.080 --> 1:24:32.080]  It's covered up.
[1:24:32.080 --> 1:24:35.080]  What about, you know, all you got to look at is just case in point.
[1:24:35.080 --> 1:24:36.080]  John don't number two.
[1:24:36.080 --> 1:24:39.080]  You know, they tell you don't even think about looking for him.
[1:24:39.080 --> 1:24:41.080]  Just forget about him.
[1:24:41.080 --> 1:24:43.080]  But you know, they just say, but you know.
[1:24:43.080 --> 1:24:44.080]  Did you live here, Charles, at the time of the bomb?
[1:24:44.080 --> 1:24:45.080]  I lived here.
[1:24:45.080 --> 1:24:46.080]  I worked right here in this building.
[1:24:46.080 --> 1:24:47.080]  I was at work.
[1:24:47.080 --> 1:24:48.080]  I was at work.
[1:24:48.080 --> 1:24:49.080]  Did you feel it?
[1:24:49.080 --> 1:24:51.080]  Yeah, I thought this building was blowing up.
[1:24:51.080 --> 1:24:52.080]  How many blasts did you feel?
[1:24:52.080 --> 1:24:53.080]  Two.
[1:24:53.080 --> 1:24:55.080]  And how far apart were they?
[1:24:55.080 --> 1:24:57.080]  Oh, probably about boom.
[1:24:57.080 --> 1:24:59.080]  And then it's boom.
[1:24:59.080 --> 1:25:00.080]  And so it wasn't a rumble.
[1:25:00.080 --> 1:25:01.080]  It was two separate boom.
[1:25:01.080 --> 1:25:07.080]  Are you familiar with the seismograph information that distinctly shows two separate bombings?
[1:25:07.080 --> 1:25:10.080]  I've heard people discuss it in the media discuss it and stuff.
[1:25:10.080 --> 1:25:11.080]  Yes.
[1:25:11.080 --> 1:25:15.080]  Are you familiar with Mr. Keys, representative Keys that believes the government may be involved?
[1:25:15.080 --> 1:25:16.080]  Yeah, Tom Keys.
[1:25:16.080 --> 1:25:17.080]  Yeah.
[1:25:17.080 --> 1:25:18.080]  I'm familiar with it.
[1:25:18.080 --> 1:25:22.080]  Who do you think stood to benefit from that heinous bombing?
[1:25:22.080 --> 1:25:28.080]  Basically, the government, the body, won't do what they want to do to be able to do,
[1:25:28.080 --> 1:25:32.080]  come and go as they please, look, search, see, to whatever, you know.
[1:25:32.080 --> 1:25:34.080]  They benefit more when stuff like this happens.
[1:25:34.080 --> 1:25:38.080]  So you think it was important for them to, the American people were getting too uppity.
[1:25:38.080 --> 1:25:40.080]  We were tired of getting pushed around.
[1:25:40.080 --> 1:25:45.080]  And so suddenly something happens and now government gets to come back and be big brother
[1:25:45.080 --> 1:25:46.080]  again.
[1:25:46.080 --> 1:25:47.080]  They got a reason.
[1:25:47.080 --> 1:25:50.080]  Basically, you know, all it takes is a little for them to do a lot.
[1:25:50.080 --> 1:25:54.080]  They basically do, you know, have come and go as they please do what they want to as
[1:25:54.080 --> 1:25:55.080]  it is right now.
[1:25:55.080 --> 1:26:02.080]  Are you familiar or are you aware of the fact that the all 17 of the ATF agents and over
[1:26:02.080 --> 1:26:08.080]  20 of their clerks and secretaries were all off the ninth floor, but the rest of the building
[1:26:08.080 --> 1:26:10.080]  was filled to the gills with children and other people?
[1:26:10.080 --> 1:26:12.080]  Yeah, I'm aware, you know.
[1:26:12.080 --> 1:26:16.080]  The media made that aware of everybody, you know, and it's like, it makes you think, you
[1:26:16.080 --> 1:26:21.080]  know, of all the people that who should have been there nine o'clock in the morning is
[1:26:21.080 --> 1:26:26.080]  them, but they conveniently was out or either out the court or either doing a thing, you
[1:26:26.080 --> 1:26:28.080]  know, but they wasn't in the building.
[1:26:28.080 --> 1:26:29.080]  It makes you wonder.
[1:26:29.080 --> 1:26:30.080]  It did.
[1:26:30.080 --> 1:26:32.080]  They really know what's really going on.
[1:26:32.080 --> 1:26:36.080]  So, so we're about a what a block and a half away from the, from the federal building
[1:26:36.080 --> 1:26:37.080]  right now, right?
[1:26:37.080 --> 1:26:38.080]  Or from the remains of it?
[1:26:38.080 --> 1:26:39.080]  Yeah.
[1:26:39.080 --> 1:26:42.080]  And you were at work on April 19th, 95 when it happened and you felt two distinct
[1:26:42.080 --> 1:26:43.080]  explosions.
[1:26:43.080 --> 1:26:44.080]  Yes, I did.
[1:26:44.080 --> 1:26:45.080]  Where were you when the bomb went off?
[1:26:45.080 --> 1:26:48.080]  We were me and him and standing next to each other.
[1:26:48.080 --> 1:26:50.080]  And y'all are just about a block away?
[1:26:50.080 --> 1:26:51.080]  Yeah, right here.
[1:26:51.080 --> 1:26:53.080]  And you felt two distinct blasts?
[1:26:53.080 --> 1:26:54.080]  Yeah.
[1:26:54.080 --> 1:26:55.080]  How far?
[1:26:55.080 --> 1:26:57.080]  Both of us fell down trying to get out the building.
[1:26:57.080 --> 1:27:00.080]  You know, it was just that much of a shake around there.
[1:27:00.080 --> 1:27:01.080]  What was the first blast?
[1:27:01.080 --> 1:27:03.080]  Was it bigger or smaller than the second?
[1:27:03.080 --> 1:27:04.080]  It was bigger.
[1:27:04.080 --> 1:27:09.080]  The second one was smaller, but you could distinctly hear it.
[1:27:09.080 --> 1:27:12.080]  So it popped like a firecracker?
[1:27:12.080 --> 1:27:16.080]  No, one more firecracker.
[1:27:16.080 --> 1:27:18.080]  Firecracker in your ear.
[1:27:18.080 --> 1:27:20.080]  No, it was a big one.
[1:27:20.080 --> 1:27:21.080]  Yeah, it was big.
[1:27:21.080 --> 1:27:23.080]  Let me ask y'all a question.
[1:27:23.080 --> 1:27:25.080]  Y'all know what a police state is, right?
[1:27:25.080 --> 1:27:28.080]  It's when the police run everything and you don't have any rights.
[1:27:28.080 --> 1:27:30.080]  Do y'all feel that we're moving into a police state?
[1:27:30.080 --> 1:27:33.080]  Yes, definitely for sure.
[1:27:33.080 --> 1:27:36.080]  And again, that's me personally, that's not an attack on the cop on the beat.
[1:27:36.080 --> 1:27:41.080]  I mean thugs and criminals control our police forces now, both state and national and local.
[1:27:41.080 --> 1:27:44.080]  And so that's why it's so hard to get a crime punished nowadays.
[1:27:44.080 --> 1:27:46.080]  True, it is.
[1:27:46.080 --> 1:27:48.080]  Seems like if you steal a hundred dollars, it'll put you in prison,
[1:27:48.080 --> 1:27:50.080]  but if you steal a million, they'll give you a medal.
[1:27:50.080 --> 1:27:54.080]  Yeah, and a little time to the side, you'd be on the side.
[1:27:54.080 --> 1:27:56.080]  Yeah.
[1:27:56.080 --> 1:27:59.080]  Y'all have any other comments about what's been going on?
[1:27:59.080 --> 1:28:03.080]  What's the solution to the problem, Donny?
[1:28:03.080 --> 1:28:06.080]  There's a lot of answers, different solutions.
[1:28:06.080 --> 1:28:07.080]  What was that you were saying?
[1:28:07.080 --> 1:28:09.080]  If I hadn't conquered, that's what it is.
[1:28:09.080 --> 1:28:11.080]  That's an old game, isn't it?
[1:28:11.080 --> 1:28:13.080]  Yeah.
[1:28:13.080 --> 1:28:17.080]  Well, thanks a lot, guys. I appreciate y'all's time.
[1:28:17.080 --> 1:28:19.080]  The facts are irrefutable.
[1:28:19.080 --> 1:28:21.080]  Treason is being engaged in.
[1:28:21.080 --> 1:28:25.080]  President Clinton bragged on Air Force One in 1996 to the press
[1:28:25.080 --> 1:28:30.080]  that he owed the revival of his presidency to the Oklahoma City bombing.
[1:28:30.080 --> 1:28:33.080]  General Parton, Ted Gunderson, Anthony Hilder,
[1:28:33.080 --> 1:28:38.080]  and many people with expertise in this area have documented what is happening.
[1:28:38.080 --> 1:28:42.080]  People like Jane Graham, who was a survivor inside the Murrow Building,
[1:28:42.080 --> 1:28:47.080]  saw strange utility people, personnel placing packages against pillars
[1:28:47.080 --> 1:28:49.080]  in the lower areas of the building.
[1:28:49.080 --> 1:28:56.080]  We have photographs of the rider truck being loaded with fuel oil at Camp Gruper,
[1:28:56.080 --> 1:28:59.080]  and that is in northern Oklahoma.
[1:28:59.080 --> 1:29:04.080]  And you add this with the newscast before and then conflicting afterwards.
[1:29:04.080 --> 1:29:09.080]  You add this with Newsweek having to use an artist rendition
[1:29:09.080 --> 1:29:14.080]  to show you the 8-foot-deep, 30-foot-around crater.
[1:29:14.080 --> 1:29:16.080]  And then when you see the actual video evidence,
[1:29:16.080 --> 1:29:21.080]  it's a heap of rubble that's been blown out into the street, not in by a truck bomb.
[1:29:21.080 --> 1:29:24.080]  There were two explosions. The seismographs show that.
[1:29:24.080 --> 1:29:29.080]  And the only people that gained from this were those that are for federal power.
[1:29:29.080 --> 1:29:31.080]  That's the evidence, and it's irrefutable.
[1:29:31.080 --> 1:29:35.080]  And if that's not enough for you, Carol Howell, a confidential FBI informant,
[1:29:35.080 --> 1:29:39.080]  warned the FBI before the bombing of the Erring Republican Army
[1:29:39.080 --> 1:29:41.080]  and Andre Strossmeyer were planning to bomb the building.
[1:29:41.080 --> 1:29:45.080]  Now see some evidence of concentration camp facilities being built in America
[1:29:45.080 --> 1:29:50.080]  under the guise of FEMA, going back over 30 years, but it is accelerating.
[1:29:50.080 --> 1:29:54.080]  Colonel North, in your work at the NSC,
[1:29:54.080 --> 1:29:59.080]  were you not assigned at one time to work on plans for the continuity of government
[1:29:59.080 --> 1:30:05.080]  in the event of a major disaster, Mr. Chairman?
[1:30:05.080 --> 1:30:11.080]  I believe the question touches upon a highly sensitive and classified area.
[1:30:11.080 --> 1:30:17.080]  So may I request that you not touch upon that, sir?
[1:30:17.080 --> 1:30:20.080]  I was particularly concerned, Mr. Chairman,
[1:30:20.080 --> 1:30:26.080]  because I read in Miami papers and several others
[1:30:26.080 --> 1:30:33.080]  that there had been a plan developed by that same agency,
[1:30:33.080 --> 1:30:36.080]  a contingency plan in the event of an emergency
[1:30:36.080 --> 1:30:39.080]  that would suspend the American Constitution,
[1:30:39.080 --> 1:30:41.080]  and I was deeply concerned about it,
[1:30:41.080 --> 1:30:44.080]  and wondered if that was the area in which he had worked.
[1:30:44.080 --> 1:30:47.080]  I believe it was, but I wanted to get him to concentrate.
[1:30:47.080 --> 1:30:52.080]  May I most respectfully request that that matter not be touched upon at this stage.
[1:30:52.080 --> 1:30:57.080]  If we wish to get into this on certain arrangements can be made for an executive session.
[1:30:57.080 --> 1:31:02.080]  And tragically, the only member who got close was Jack Brooks,
[1:31:02.080 --> 1:31:04.080]  and he was stopped by the chairman.
[1:31:04.080 --> 1:31:08.080]  But the truth of the matter is that yes, you do have those standby provisions,
[1:31:08.080 --> 1:31:13.080]  and the plans are there, and the statutory emergency plans are there,
[1:31:13.080 --> 1:31:18.080]  whereby you could, in the name of stopping terrorism,
[1:31:18.080 --> 1:31:23.080]  apprehend, invoke the military,
[1:31:23.080 --> 1:31:27.080]  and arrest Americans, and hold them in detention camps.
[1:31:27.080 --> 1:31:31.080]  We've been around the nation, categorizing enemy activity.
[1:31:31.080 --> 1:31:36.080]  Now we're headed back to Austin, Texas, to expose the activities there.
[1:31:36.080 --> 1:31:44.080]  We're here at the Model United Nations Day, January 16th, 1998.
[1:31:44.080 --> 1:31:48.080]  We went in and discussed with a lot of people, a lot of issues,
[1:31:48.080 --> 1:31:53.080]  and saw the youth being educated, being trained in the ways of world governance,
[1:31:53.080 --> 1:31:57.080]  and the growth of the world government control apparatus.
[1:31:57.080 --> 1:32:00.080]  Many of these people don't understand who controls the United Nations,
[1:32:00.080 --> 1:32:04.080]  and you're fixing to see that from the interviews that we conducted.
[1:32:04.080 --> 1:32:06.080]  And that's the scary part.
[1:32:06.080 --> 1:32:10.080]  There's so many good people engaged in this at the lower level,
[1:32:10.080 --> 1:32:16.080]  and that creates the group psychology, the peer pressure, that it is a good organization.
[1:32:16.080 --> 1:32:19.080]  I think we've conducted a balanced report,
[1:32:19.080 --> 1:32:24.080]  and the excerpts from interviews with children, teachers, and administrators,
[1:32:24.080 --> 1:32:29.080]  and the local United Nations recruiting organization for adults, professors, and children,
[1:32:29.080 --> 1:32:31.080]  was here also.
[1:32:31.080 --> 1:32:35.080]  This is where our country is, this is where it's moving,
[1:32:35.080 --> 1:32:41.080]  and the scariest point of this entire discussion that we had today in this report
[1:32:41.080 --> 1:32:47.080]  is that we are severely lacking in teaching our youth about the Constitution of the United States
[1:32:47.080 --> 1:32:50.080]  and about the government of the United States,
[1:32:50.080 --> 1:32:55.080]  but there's plenty of money, and there's plenty of help from the establishment
[1:32:55.080 --> 1:32:57.080]  to teach them about the United Nations.
[1:32:57.080 --> 1:32:59.080]  And that doesn't surprise me a bit,
[1:32:59.080 --> 1:33:03.080]  because we know that there is a move towards the global government,
[1:33:03.080 --> 1:33:07.080]  abolition of private property, the destruction of national sovereignty
[1:33:07.080 --> 1:33:09.080]  in the name of the group collective.
[1:33:09.080 --> 1:33:14.080]  And what did David Rockefeller say about the public schools?
[1:33:14.080 --> 1:33:18.080]  What did he say about government training centers, or what he called the public schools?
[1:33:18.080 --> 1:33:24.080]  He called it helpless people yielding themselves to our molding hands,
[1:33:24.080 --> 1:33:31.080]  and these lovely, intelligent, but very young people are very easily molded by the establishment today.
[1:33:31.080 --> 1:33:36.080]  So let's go inside the teaching center here at the University of Texas
[1:33:36.080 --> 1:33:41.080]  and find out exactly what's happening to our youth of this nation.
[1:33:41.080 --> 1:33:43.080]  Just your name under here, observer.
[1:33:43.080 --> 1:33:46.080]  Maybe this is the same publisher. I wrote one that was called Simplifier.
[1:33:46.080 --> 1:33:47.080]  That's what it's called.
[1:33:47.080 --> 1:33:49.080]  Oh, there's a whole battery of them.
[1:33:49.080 --> 1:33:51.080]  Otherwise the pages are not supposed to let you in.
[1:33:51.080 --> 1:33:52.080]  Oh, good.
[1:33:52.080 --> 1:33:53.080]  If you don't mind.
[1:33:53.080 --> 1:33:57.080]  So, oh, we have lots of things, lots of plans, and we think we have a great conference.
[1:33:57.080 --> 1:33:59.080]  Who are some of the sponsors of the conference?
[1:33:59.080 --> 1:34:04.080]  Well, we are the United Nations Association of Austin,
[1:34:04.080 --> 1:34:10.080]  and this year the League of Women Voters is co-sponsoring us.
[1:34:10.080 --> 1:34:13.080]  Who is the head of the United Nations organization here in town?
[1:34:13.080 --> 1:34:15.080]  Frank Cooksy, a former mayor.
[1:34:15.080 --> 1:34:16.080]  Oh, yeah.
[1:34:16.080 --> 1:34:22.080]  Well, yeah, that's a different court, but this is actually this court,
[1:34:22.080 --> 1:34:26.080]  the International Court meets in The Hague.
[1:34:26.080 --> 1:34:28.080]  That's in the Netherlands, isn't it?
[1:34:28.080 --> 1:34:29.080]  Yes, it is.
[1:34:36.080 --> 1:34:38.080]  And I see y'all are wearing little worlds there.
[1:34:38.080 --> 1:34:39.080]  Do y'all care about the world?
[1:34:39.080 --> 1:34:40.080]  Yeah.
[1:34:40.080 --> 1:34:41.080]  Y'all are good people, aren't you?
[1:34:41.080 --> 1:34:42.080]  Yeah.
[1:34:42.080 --> 1:34:44.080]  Y'all think the United Nations is helping?
[1:34:44.080 --> 1:34:45.080]  Mm-hmm.
[1:34:45.080 --> 1:34:48.080]  Yeah, I think it's a great way to, like, make world peace.
[1:34:48.080 --> 1:34:50.080]  A great way to make world peace.
[1:34:50.080 --> 1:34:54.080]  Because through global governance, we can knock out all the troublemakers.
[1:34:54.080 --> 1:34:55.080]  Yes.
[1:34:55.080 --> 1:34:57.080]  Is that what y'all have been talking about?
[1:34:57.080 --> 1:34:58.080]  Yeah.
[1:34:58.080 --> 1:34:59.080]  I know.
[1:34:59.080 --> 1:35:00.080]  Yeah.
[1:35:00.080 --> 1:35:01.080]  Well, that's great.
[1:35:01.080 --> 1:35:03.080]  I hope y'all have an enjoyable time.
[1:35:03.080 --> 1:35:04.080]  Okay.
[1:35:04.080 --> 1:35:05.080]  Thanks a lot.
[1:35:05.080 --> 1:35:06.080]  Thank you.
[1:35:06.080 --> 1:35:07.080]  What do you think about the United Nations?
[1:35:07.080 --> 1:35:08.080]  Cool.
[1:35:08.080 --> 1:35:11.080]  I think it's kind of fun.
[1:35:11.080 --> 1:35:12.080]  No, it is really cool.
[1:35:12.080 --> 1:35:14.080]  It decides the whole of world issues.
[1:35:14.080 --> 1:35:15.080]  Yeah, they make peace.
[1:35:15.080 --> 1:35:17.080]  Real peace and stuff.
[1:35:17.080 --> 1:35:18.080]  It's really exciting.
[1:35:18.080 --> 1:35:19.080]  It's really exciting.
[1:35:19.080 --> 1:35:21.080]  Well, that's great.
[1:35:21.080 --> 1:35:24.080]  Model United Nations is one more than many committees.
[1:35:24.080 --> 1:35:29.080]  They're helping helpless young people yielding themselves to the elite's hands.
[1:35:29.080 --> 1:35:34.080]  I could tell them about the people that really control it,
[1:35:34.080 --> 1:35:39.080]  but they never understand it.
[1:35:39.080 --> 1:35:43.080]  It's this petty taste of power that gets them to believe
[1:35:43.080 --> 1:35:45.080]  that they're really doing something good
[1:35:45.080 --> 1:35:49.080]  when they're really working for something bad.
[1:35:49.080 --> 1:35:55.080]  Notice your youth are not being taught about the Constitution.
[1:35:55.080 --> 1:35:58.080]  They are being taught about world constitution,
[1:35:58.080 --> 1:36:10.080]  world proletariat, orders from headquarters.
[1:36:10.080 --> 1:36:13.080]  So, Mr. Schofield, how long have you been involved in Model UN?
[1:36:13.080 --> 1:36:15.080]  This is my fourth year.
[1:36:15.080 --> 1:36:19.080]  At our first conference, the Central Texas Model UN,
[1:36:19.080 --> 1:36:21.080]  they're in the first conference,
[1:36:21.080 --> 1:36:23.080]  and it's my fourth year.
[1:36:23.080 --> 1:36:25.080]  Now I'm the secretary general.
[1:36:25.080 --> 1:36:28.080]  Before the conference, basically putting every,
[1:36:28.080 --> 1:36:30.080]  getting all the nations to come,
[1:36:30.080 --> 1:36:32.080]  all the students working with the schools,
[1:36:32.080 --> 1:36:34.080]  getting the pages and putting the staff together.
[1:36:34.080 --> 1:36:36.080]  And then once we're here, I just kind of direct,
[1:36:36.080 --> 1:36:38.080]  make sure everything's going smoothly
[1:36:38.080 --> 1:36:41.080]  and kind of just observe,
[1:36:41.080 --> 1:36:43.080]  let the secretary go to work.
[1:36:43.080 --> 1:36:46.080]  How many years have they been having Model United Nations here
[1:36:46.080 --> 1:36:48.080]  in the United States?
[1:36:48.080 --> 1:36:52.080]  The oldest conference I believe in the U.S. is 40 years,
[1:36:52.080 --> 1:36:54.080]  and that's high school,
[1:36:54.080 --> 1:36:56.080]  and the oldest college conference is 35 years.
[1:36:56.080 --> 1:36:58.080]  How long has it been here at University of Texas?
[1:36:58.080 --> 1:37:00.080]  This is the fourth year for the conference.
[1:37:00.080 --> 1:37:03.080]  I believe the group is since 1983,
[1:37:03.080 --> 1:37:06.080]  and way back in the 1960s, early 60s,
[1:37:06.080 --> 1:37:09.080]  there was a conference here in UT.
[1:37:09.080 --> 1:37:12.080]  Actually, Secretary Schofield was wrong.
[1:37:12.080 --> 1:37:15.080]  The United Nations was first called the League of Nations
[1:37:15.080 --> 1:37:18.080]  and failed in 1918 under Woodrow Wilson.
[1:37:18.080 --> 1:37:22.080]  It's a push for a global taxation system.
[1:37:22.080 --> 1:37:25.080]  And our youth are being indoctrinated.
[1:37:25.080 --> 1:37:28.080]  They're being brought by their high school teachers
[1:37:28.080 --> 1:37:30.080]  and their junior high teachers to UT
[1:37:30.080 --> 1:37:32.080]  and universities across the nation
[1:37:32.080 --> 1:37:35.080]  to learn about giving up our sovereignty.
[1:37:35.080 --> 1:37:38.080]  They use careful semantics in choosing the term
[1:37:38.080 --> 1:37:41.080]  join the nationwide movement for a more effective United Nations.
[1:37:41.080 --> 1:37:43.080]  It's not a nationwide movement.
[1:37:43.080 --> 1:37:46.080]  It's a worldwide movement.
[1:37:46.080 --> 1:37:49.080]  Worldwide movements are nothing new.
[1:37:49.080 --> 1:37:52.080]  And all through history, we've seen the blood and carnage.
[1:37:52.080 --> 1:37:56.080]  The U.N. packages all its movements in the name of the children.
[1:37:56.080 --> 1:37:58.080]  But if you really study their history,
[1:37:58.080 --> 1:38:02.080]  you find individuals like Kirk Voltaim.
