[00:00.000 --> 00:20.000]  Music
[1:14:11.160 --> 1:14:14.160]  or overseas?
[1:14:14.160 --> 1:14:15.160]  Possibly.
[1:14:15.160 --> 1:14:16.160]  Really?
[1:14:16.160 --> 1:14:18.160]  They tell y'all that, huh?
[1:14:18.160 --> 1:14:20.160]  Yeah, somewhat, you know what I mean.
[1:14:20.160 --> 1:14:22.160]  I think you guys are kind of smiling.
[1:14:22.160 --> 1:14:25.160]  What tell ya?
[1:14:25.160 --> 1:14:27.160]  I can't tell you anything anymore than he could.
[1:14:27.160 --> 1:14:28.160]  We have aircraft.
[1:14:28.160 --> 1:14:29.160]  We're supporting the aircraft,
[1:14:29.160 --> 1:14:32.160]  so you have to have an airfield.
[1:14:32.160 --> 1:14:35.160]  We're just getting the local authorities used to working.
[1:14:35.160 --> 1:14:38.160]  Working together.
[1:14:38.160 --> 1:14:41.160]  Don't be talking to anybody.
[1:14:41.160 --> 1:14:43.160]  I'm going to go to a public information office.
[1:14:43.160 --> 1:14:45.160]  Oh, I'm sorry.
[1:14:45.160 --> 1:14:49.160]  Our soldiers are not authorized to make any comments or anything.
[1:14:49.160 --> 1:14:50.160]  Oh, okay.
[1:14:50.160 --> 1:14:52.160]  The soldiers are not authorized to talk to us.
[1:14:52.160 --> 1:14:56.160]  Okay, okay.
[1:14:56.160 --> 1:15:03.160]  Okay.
[1:15:03.160 --> 1:15:06.160]  Upon entering the once civilian terminal
[1:15:06.160 --> 1:15:08.160]  at the Temple Municipal Airport,
[1:15:08.160 --> 1:15:11.160]  we were told to leave.
[1:15:11.160 --> 1:15:15.160]  Though politely, it still points to something ominous.
[1:15:15.160 --> 1:15:18.160]  We're just here for a two-week period.
[1:15:18.160 --> 1:15:20.160]  Oh, just for a two-week period?
[1:15:20.160 --> 1:15:23.160]  How long ago did y'all move in? About a week ago?
[1:15:23.160 --> 1:15:25.160]  No, we're here for two weeks at a time.
[1:15:25.160 --> 1:15:27.160]  Oh, cool.
[1:15:27.160 --> 1:15:28.160]  Who you with?
[1:15:28.160 --> 1:15:31.160]  Oh, I got a little radio show, a little syndicated talk show,
[1:15:31.160 --> 1:15:32.160]  and I also make documentaries.
[1:15:32.160 --> 1:15:33.160]  Thank you.
[1:15:33.160 --> 1:15:34.160]  How you doing?
[1:15:34.160 --> 1:15:36.160]  Pretty good.
[1:15:36.160 --> 1:15:39.160]  So y'all are just practicing taking over the airport?
[1:15:39.160 --> 1:15:40.160]  No.
[1:15:40.160 --> 1:15:43.160]  Can I introduce you to somebody that...
[1:15:43.160 --> 1:15:45.160]  I already talked to you about this.
[1:15:45.160 --> 1:15:46.160]  Yeah.
[1:15:46.160 --> 1:15:47.160]  We're just practicing occupying the airport.
[1:15:47.160 --> 1:15:48.160]  Yeah.
[1:15:48.160 --> 1:15:49.160]  That's just been taken over.
[1:15:49.160 --> 1:15:50.160]  Okay.
[1:15:50.160 --> 1:15:51.160]  We're just having a meeting in here,
[1:15:51.160 --> 1:15:52.160]  so please ask you to leave.
[1:15:52.160 --> 1:15:53.160]  Oh, okay.
[1:15:53.160 --> 1:15:54.160]  Leave the municipal airport?
[1:15:54.160 --> 1:15:55.160]  Sure we will.
[1:15:55.160 --> 1:15:57.160]  No, leave the terminal building.
[1:15:57.160 --> 1:15:58.160]  Leave the terminal building.
[1:15:58.160 --> 1:15:59.160]  Okay, thanks a lot.
[1:15:59.160 --> 1:16:00.160]  Okay.
[1:16:00.160 --> 1:16:01.160]  Appreciate it.
[1:16:01.160 --> 1:16:02.160]  Thanks for the help.
[1:16:18.160 --> 1:16:20.160]  The place is Hebron, Maryland.
[1:16:20.160 --> 1:16:23.160]  The date is September 3rd and 4th, 1998.
[1:16:23.160 --> 1:16:26.160]  Another one of my listeners in Hebron, Maryland,
[1:16:26.160 --> 1:16:30.160]  sent me this amateur videotape and accompanying news articles.
[1:16:30.160 --> 1:16:35.160]  I called and confirmed his story with the sheriff and others in the town.
[1:16:35.160 --> 1:16:38.160]  The Marines came in, over 70 of them,
[1:16:38.160 --> 1:16:42.160]  and engaged in a takeover of the town from the courthouse
[1:16:42.160 --> 1:16:45.160]  to other centers of city government,
[1:16:45.160 --> 1:16:48.160]  and then they went out during the day and at night
[1:16:48.160 --> 1:16:50.160]  and engaged in mock gun confiscations
[1:16:50.160 --> 1:16:54.160]  aided by citizens and, yes, even adolescents and young children
[1:16:54.160 --> 1:16:58.160]  on bicycles looking for the supposed terrorist.
[1:16:58.160 --> 1:17:02.160]  All part of training, our law enforcement, our military,
[1:17:02.160 --> 1:17:05.160]  and our local constabulary is all around the country
[1:17:05.160 --> 1:17:08.160]  that it's normal activity to have children and others
[1:17:08.160 --> 1:17:10.160]  engaged with the military,
[1:17:10.160 --> 1:17:12.160]  tattling on citizens.
[1:17:12.160 --> 1:17:16.160]  This is nothing but pure preparation for martial law.
[1:17:16.160 --> 1:17:20.160]  Again, Hebron, Maryland, 1998.
[1:17:20.160 --> 1:17:22.160]  Are you the sheriff?
[1:17:22.160 --> 1:17:23.160]  Yes, I am.
[1:17:23.160 --> 1:17:26.160]  So tell me what's happening here.
[1:17:26.160 --> 1:17:27.160]  Hold on.
[1:17:27.160 --> 1:17:29.160]  I don't have to repeat this again, though.
[1:17:29.160 --> 1:17:31.160]  Well, some of it, a little bit.
[1:17:31.160 --> 1:17:35.160]  I won't take too long because I got some food over there waiting for me.
[1:17:35.160 --> 1:17:39.160]  I just got a military exercise training
[1:17:39.160 --> 1:17:42.160]  at being conducted in a civilian population
[1:17:42.160 --> 1:17:46.160]  in full support with the community, with the sheriff's office.
[1:17:46.160 --> 1:17:48.160]  Oh, yeah, you fully support it?
[1:17:48.160 --> 1:17:49.160]  Absolutely.
[1:17:49.160 --> 1:17:51.160]  And what is the purpose of it?
[1:17:51.160 --> 1:17:54.160]  It's to give these young marine second lieutenants
[1:17:54.160 --> 1:17:56.160]  an opportunity for some real world training
[1:17:56.160 --> 1:18:01.160]  with nine combatants who have been exposed to something like this.
[1:18:01.160 --> 1:18:04.160]  So, therefore, they're not choreographed in any way.
[1:18:04.160 --> 1:18:06.160]  They haven't been exposed to this kind of training before?
[1:18:06.160 --> 1:18:07.160]  No.
[1:18:07.160 --> 1:18:10.160]  Weren't they going door to door to a few houses?
[1:18:10.160 --> 1:18:13.160]  They are going door to door to some houses,
[1:18:13.160 --> 1:18:15.160]  but they're going door to door to houses
[1:18:15.160 --> 1:18:18.160]  where the people in those houses have already volunteered
[1:18:18.160 --> 1:18:19.160]  to be a part of the training action.
[1:18:19.160 --> 1:18:21.160]  And what are they going to do when they get to the house?
[1:18:21.160 --> 1:18:22.160]  I'm not sure.
[1:18:22.160 --> 1:18:24.160]  They can talk it over with the people that have volunteered,
[1:18:24.160 --> 1:18:27.160]  but they're going to be going no houses or no place in town
[1:18:27.160 --> 1:18:29.160]  so that's where there's not a volunteer spirit.
[1:18:29.160 --> 1:18:32.160]  But they're going to do gun confiscation, right?
[1:18:32.160 --> 1:18:33.160]  Oh, no, not my town.
[1:18:33.160 --> 1:18:34.160]  Weapons?
[1:18:34.160 --> 1:18:36.160]  No gun confiscation.
[1:18:36.160 --> 1:18:38.160]  Well, they're going to confiscate artificial weapons.
[1:18:38.160 --> 1:18:40.160]  Well, if that's part of the training scenario,
[1:18:40.160 --> 1:18:42.160]  but they're not taking any civilian weapons.
[1:18:42.160 --> 1:18:45.160]  Well, they're taking what is supposed to be, right?
[1:18:45.160 --> 1:18:48.160]  Mock weapons as if it were the citizens' weapons?
[1:18:48.160 --> 1:18:51.160]  Now, that I'm not sure of, but if they are,
[1:18:51.160 --> 1:18:55.160]  it's as far as their training scenario and their items
[1:18:55.160 --> 1:18:58.160]  that they have brought as far as their training equipment.
[1:18:58.160 --> 1:18:59.160]  Right, but they're training in order
[1:18:59.160 --> 1:19:01.160]  so they could confiscate weapons.
[1:19:01.160 --> 1:19:03.160]  I think that's the case here.
[1:19:03.160 --> 1:19:11.160]  Yeah.
[1:19:11.160 --> 1:19:13.160]  You guys are using the ladder instead of, like,
[1:19:13.160 --> 1:19:15.160]  climbing by a rope or something.
[1:19:15.160 --> 1:19:19.160]  The ladder's quicker, easier to get gear up to the roof.
[1:19:19.160 --> 1:19:21.160]  Would you have to carry it through the field
[1:19:21.160 --> 1:19:23.160]  if you were, like, really...
[1:19:23.160 --> 1:19:25.160]  Well, the idea is that since we're in town,
[1:19:25.160 --> 1:19:28.160]  we're going to be able to get one in this surrounding area
[1:19:28.160 --> 1:19:30.160]  and get one of these.
[1:19:30.160 --> 1:19:31.160]  What?
[1:19:31.160 --> 1:19:33.160]  Yeah.
[1:19:33.160 --> 1:19:35.160]  I can't hear you.
[1:19:35.160 --> 1:19:37.160]  You're also going to see
[1:19:37.160 --> 1:19:39.160]  plain-closed Marine Corps spies
[1:19:39.160 --> 1:19:42.160]  going around coordinating the operations,
[1:19:42.160 --> 1:19:44.160]  coordinating local police,
[1:19:44.160 --> 1:19:48.160]  the military, and the Tattletail citizens
[1:19:48.160 --> 1:19:51.160]  to deal with the deadly dangerous terrorist
[1:19:51.160 --> 1:19:53.160]  right here in America.
[1:19:53.160 --> 1:20:03.160]  Hey, is the patrol going out right now?
[1:20:03.160 --> 1:20:05.160]  Hey, we got another patrol going out.
[1:20:05.160 --> 1:20:07.160]  The first patrol doesn't know anything about the house call.
[1:20:07.160 --> 1:20:08.160]  Just leave them alone.
[1:20:08.160 --> 1:20:10.160]  They'll get to the house call on time.
[1:20:10.160 --> 1:20:11.160]  Got it?
[1:20:11.160 --> 1:20:12.160]  Okay, I'm just trying to figure out
[1:20:12.160 --> 1:20:16.160]  who we need to walk with.
[1:20:16.160 --> 1:20:41.160]  Well, you just heard it for yourself.
[1:20:41.160 --> 1:20:42.160]  The United States Marine Corps,
[1:20:42.160 --> 1:20:45.160]  with plain-closed officers wandering around
[1:20:45.160 --> 1:21:12.160]  talking about house calls.
[1:21:12.160 --> 1:21:13.160]  The amateur cameraman
[1:21:13.160 --> 1:21:16.160]  that got us this footage lives in Maryland.
[1:21:16.160 --> 1:21:18.160]  He had every right to get this footage,
[1:21:18.160 --> 1:21:19.160]  but once the sun went down,
[1:21:19.160 --> 1:21:21.160]  the local police and the military
[1:21:21.160 --> 1:21:24.160]  did not want him to get some of the key footage,
[1:21:24.160 --> 1:21:27.160]  the rating of the homes.
[1:21:27.160 --> 1:21:29.160]  Again, what do they have to hide?
[1:21:29.160 --> 1:21:33.160]  What are they doing with that?
[1:21:33.160 --> 1:21:37.160]  Okay, we have four individuals running around the town.
[1:21:37.160 --> 1:21:40.160]  They're just basically acting as aggressors, bad guys,
[1:21:40.160 --> 1:21:43.160]  and their mission is once the officers and the lieutenants
[1:21:43.160 --> 1:21:45.160]  come in, their mission is to go out
[1:21:45.160 --> 1:21:46.160]  and seek these insurgents
[1:21:46.160 --> 1:21:48.160]  and see if they can locate them
[1:21:48.160 --> 1:21:50.160]  and remove them from the population.
[1:21:50.160 --> 1:21:51.160]  And you haven't started doing that yet?
[1:21:51.160 --> 1:21:53.160]  No, not at all.
[1:21:53.160 --> 1:21:55.160]  And what kind of stuff are they going to do?
[1:21:55.160 --> 1:21:56.160]  Like, act like they're shooting at you
[1:21:56.160 --> 1:21:57.160]  and stuff like that?
[1:21:57.160 --> 1:21:59.160]  Basically, it was just a typical marine training exercise.
[1:21:59.160 --> 1:22:00.160]  They have weapons.
[1:22:00.160 --> 1:22:02.160]  They could be firing blank ammunition,
[1:22:02.160 --> 1:22:04.160]  just basic urban controlling.
[1:22:04.160 --> 1:22:06.160]  Just be doing that now in the street and stuff.
[1:22:06.160 --> 1:22:08.160]  And tell me about the door-to-door stuff
[1:22:08.160 --> 1:22:10.160]  that you're going to do.
[1:22:10.160 --> 1:22:12.160]  Like, was it four houses or what?
[1:22:12.160 --> 1:22:13.160]  It's four houses.
[1:22:13.160 --> 1:22:14.160]  And what are you going to do?
[1:22:14.160 --> 1:22:16.160]  What we're going to do is we're going to plant
[1:22:16.160 --> 1:22:18.160]  some rubber weapons in there,
[1:22:18.160 --> 1:22:20.160]  toy guns, per se.
[1:22:20.160 --> 1:22:22.160]  And you're just going to go into regular citizens' homes
[1:22:22.160 --> 1:22:23.160]  doing this?
[1:22:23.160 --> 1:22:26.160]  Actually, the citizens have volunteered to services.
[1:22:26.160 --> 1:22:28.160]  They volunteer to be role-players.
[1:22:28.160 --> 1:22:30.160]  And they've allowed us to use their homes.
[1:22:30.160 --> 1:22:31.160]  And what are they going to do?
[1:22:31.160 --> 1:22:33.160]  Are any of them going to act like they don't want you to do it?
[1:22:33.160 --> 1:22:35.160]  Or are they all going to act like they don't want you to do it?
[1:22:35.160 --> 1:22:37.160]  Well, some are going to be friendly.
[1:22:37.160 --> 1:22:38.160]  Some are going to be belligerent.
[1:22:38.160 --> 1:22:40.160]  Some are going to be uncooperative.
[1:22:40.160 --> 1:22:42.160]  That's the scenario that we're going to train.
[1:22:42.160 --> 1:22:44.160]  Oh, and it's just going to be the people who live in the house
[1:22:44.160 --> 1:22:46.160]  that are doing this role-playing.
[1:22:46.160 --> 1:22:47.160]  What about there?
[1:22:47.160 --> 1:22:49.160]  Are there going to be kids in the house?
[1:22:49.160 --> 1:22:50.160]  The kids are more excited.
[1:22:50.160 --> 1:22:51.160]  I don't think the kids,
[1:22:51.160 --> 1:22:53.160]  maybe there might be a few kids running around, whatever,
[1:22:53.160 --> 1:22:55.160]  but, you know, the kids might not...
[1:22:55.160 --> 1:22:56.160]  Now, what are you going to do?
[1:22:56.160 --> 1:22:57.160]  Are you going to arrest the people?
[1:22:57.160 --> 1:22:58.160]  Are we going to arrest the people?
[1:22:58.160 --> 1:23:00.160]  Well, or act out that you're whatever.
[1:23:00.160 --> 1:23:01.160]  No, no, sir.
[1:23:01.160 --> 1:23:02.160]  We're not going to arrest anyone.
[1:23:02.160 --> 1:23:03.160]  What are you going to do to them?
[1:23:03.160 --> 1:23:04.160]  Nothing.
[1:23:04.160 --> 1:23:05.160]  Go up to them and ask them questions,
[1:23:05.160 --> 1:23:07.160]  if they've seen any subversive activities.
[1:23:07.160 --> 1:23:08.160]  You have to understand,
[1:23:08.160 --> 1:23:10.160]  these people have been versed in their roles.
[1:23:10.160 --> 1:23:11.160]  Yeah, I understand.
[1:23:11.160 --> 1:23:12.160]  I'm not like...
[1:23:12.160 --> 1:23:13.160]  You're going to like...
[1:23:13.160 --> 1:23:14.160]  I mean, they're going to say,
[1:23:14.160 --> 1:23:15.160]  when they're resisting,
[1:23:15.160 --> 1:23:16.160]  what are you going to do?
[1:23:16.160 --> 1:23:17.160]  Are you going to grab them like and stuff?
[1:23:17.160 --> 1:23:21.160]  The people aren't playing the role of the resistance.
[1:23:21.160 --> 1:23:23.160]  Oh, they're just going to talk stuff, but not...
[1:23:23.160 --> 1:23:25.160]  They're just civilians.
[1:23:25.160 --> 1:23:26.160]  Oh, yeah.
[1:23:26.160 --> 1:23:27.160]  Oh, I didn't know if they were going to act
[1:23:27.160 --> 1:23:28.160]  like they're resisting,
[1:23:28.160 --> 1:23:29.160]  and you're going to act like you're,
[1:23:29.160 --> 1:23:32.160]  like, arresting them or shooting them or...
[1:23:32.160 --> 1:23:34.160]  No, we're not assaulting anything.
[1:23:34.160 --> 1:23:35.160]  The resistance don't want you or anything?
[1:23:35.160 --> 1:23:36.160]  No, sir.
[1:23:36.160 --> 1:23:38.160]  Oh, okay.
[1:23:38.160 --> 1:23:39.160]  And then what's going to happen
[1:23:39.160 --> 1:23:40.160]  besides that, Dan?
[1:23:40.160 --> 1:23:42.160]  What about the rooftop stuff?
[1:23:42.160 --> 1:23:43.160]  The rooftop?
[1:23:43.160 --> 1:23:44.160]  Rooftop?
[1:23:44.160 --> 1:23:45.160]  I don't know.
[1:23:45.160 --> 1:23:46.160]  What rooftop?
[1:23:46.160 --> 1:23:47.160]  I heard you guys were going to go
[1:23:47.160 --> 1:23:48.160]  and take over buildings or something,
[1:23:48.160 --> 1:23:50.160]  maybe from the insurgents or something?
[1:23:50.160 --> 1:23:52.160]  I don't know anything about it.
[1:23:52.160 --> 1:23:55.160]  Oh, nothing about that.
[1:23:55.160 --> 1:23:56.160]  So maybe that's just whatever happens,
[1:23:56.160 --> 1:24:00.160]  whatever the insurgents decide to do or something?
[1:24:00.160 --> 1:24:01.160]  If you don't mind me asking,
[1:24:01.160 --> 1:24:02.160]  where are you from?
[1:24:02.160 --> 1:24:03.160]  From Baltimore.
[1:24:03.160 --> 1:24:04.160]  Baltimore?
[1:24:04.160 --> 1:24:05.160]  Yeah.
[1:24:05.160 --> 1:24:06.160]  Baltimore, Maryland.
[1:24:06.160 --> 1:24:07.160]  Not that far.
[1:24:07.160 --> 1:24:08.160]  Nice town.
[1:24:08.160 --> 1:24:10.160]  Yeah, it's pretty nice town.
[1:24:10.160 --> 1:24:11.160]  Thank you.
[1:24:29.160 --> 1:24:31.160]  There he is.
[1:24:31.160 --> 1:24:33.160]  I'm not carrying him over here.
[1:24:33.160 --> 1:24:35.160]  I got to get used to looking at this camera.
[1:24:35.160 --> 1:24:36.160]  It's weird.
[1:24:46.160 --> 1:24:48.160]  Again, this is amateur camera work,
[1:24:48.160 --> 1:24:50.160]  and for some reason the cameraman
[1:24:50.160 --> 1:24:52.160]  didn't really know what he was videotaping,
[1:24:52.160 --> 1:24:55.160]  but upon speaking to him later in depth,
[1:24:55.160 --> 1:24:57.160]  it was clear the entire day
[1:24:57.160 --> 1:25:00.160]  small children, again, were aiding
[1:25:00.160 --> 1:25:02.160]  the United States Marine Corps
[1:25:02.160 --> 1:25:05.160]  in tattling and looking for the subversives.
[1:25:05.160 --> 1:25:09.160]  This is right out of mind comp, ladies and gentlemen.
[1:25:09.160 --> 1:25:12.160]  This is Nazi-esque behavior.
[1:25:12.160 --> 1:25:30.160]  The tattletail police.
[1:25:30.160 --> 1:25:32.160]  Imagine Marines in your back yard,
[1:25:32.160 --> 1:25:33.160]  in your front yard,
[1:25:33.160 --> 1:25:36.160]  walking down your streets in the middle of the night.
[1:25:36.160 --> 1:25:38.160]  Well, you're a patriot, aren't you?
[1:25:38.160 --> 1:25:39.160]  Well, I certainly am,
[1:25:39.160 --> 1:25:42.160]  but this is a deadly, dangerous precedent
[1:25:42.160 --> 1:25:43.160]  that's being set.
[1:25:43.160 --> 1:25:45.160]  They're brainwashing our military.
[1:25:45.160 --> 1:25:47.160]  Now, if they had nothing to hide,
[1:25:47.160 --> 1:25:50.160]  I'm a little confused by their actions.
[1:25:50.160 --> 1:25:52.160]  The police began to get more and more aggressive
[1:25:52.160 --> 1:25:53.160]  as the night wore on,
[1:25:53.160 --> 1:25:56.160]  simply because this average Joe Q. citizen
[1:25:56.160 --> 1:25:58.160]  was trying to catch some videotape
[1:25:58.160 --> 1:26:00.160]  with the bizarre activities.
[1:26:00.160 --> 1:26:01.160]  Oh, nothing.
[1:26:01.160 --> 1:26:03.160]  I just said I didn't have it on then anyway.
[1:26:03.160 --> 1:26:04.160]  I was talking to you.
[1:26:04.160 --> 1:26:11.160]  How are you doing?
[1:26:11.160 --> 1:26:12.160]  What's that?
[1:26:12.160 --> 1:26:14.160]  It's a good evening.
[1:26:14.160 --> 1:26:16.160]  How are you doing that, sir?
[1:26:16.160 --> 1:26:17.160]  Very good, yourself.
[1:26:17.160 --> 1:26:19.160]  How are you doing?
[1:26:19.160 --> 1:26:20.160]  Not bad.
[1:26:20.160 --> 1:26:22.160]  Were you the same guy who was here earlier?
[1:26:22.160 --> 1:26:24.160]  Lesson number one,
[1:26:24.160 --> 1:26:34.160]  never turn off the video camera,
[1:26:34.160 --> 1:26:36.160]  even though you feel intimidated.
[1:26:36.160 --> 1:26:39.160]  I've seen this, I can't tell you how many times.
[1:26:39.160 --> 1:26:43.160]  Sheldon, the amateur cameraman,
[1:26:43.160 --> 1:26:45.160]  turned off his camera when confronted
[1:26:45.160 --> 1:26:47.160]  by the sheriff's deputy.
[1:26:47.160 --> 1:26:49.160]  And yes, ladies and gentlemen,
[1:26:49.160 --> 1:26:51.160]  look right there on your screen
[1:26:51.160 --> 1:26:53.160]  right before he turned the camera on.
[1:26:53.160 --> 1:26:56.160]  A Marine with a fully automatic weapon.
[1:26:56.160 --> 1:26:59.160]  The point is, you see the relationship building here.
[1:26:59.160 --> 1:27:04.160]  Sheriff's deputy and military officer.
[1:27:04.160 --> 1:27:06.160]  Now, let's try to figure this out.
[1:27:06.160 --> 1:27:07.160]  Just for a second.
[1:27:07.160 --> 1:27:10.160]  Are they going to load our police
[1:27:10.160 --> 1:27:12.160]  up with our Marines on C-130s
[1:27:12.160 --> 1:27:14.160]  and fly them overseas?
[1:27:14.160 --> 1:27:17.160]  Hmm, just a question I have.
[1:27:17.160 --> 1:27:19.160]  Where are you going, man?
[1:27:19.160 --> 1:27:21.160]  Where am I going?
[1:27:21.160 --> 1:27:23.160]  Where am I going?
[1:27:23.160 --> 1:27:25.160]  Where am I?
[1:27:25.160 --> 1:27:27.160]  Where are you going?
[1:27:27.160 --> 1:27:29.160]  What do you want?
[1:27:29.160 --> 1:27:31.160]  About what?
[1:27:31.160 --> 1:27:32.160]  About your activity.
[1:27:32.160 --> 1:27:34.160]  What's my activity? What's wrong?
[1:27:34.160 --> 1:27:35.160]  I need to be here.
[1:27:35.160 --> 1:27:37.160]  Well,
[1:27:37.160 --> 1:27:39.160]  I'm doing something.
[1:27:39.160 --> 1:27:41.160]  I'm doing something, too.
[1:27:41.160 --> 1:27:43.160]  I need to talk to someone here.
[1:27:43.160 --> 1:27:45.160]  Why are they around my truck?
[1:27:45.160 --> 1:27:47.160]  They're making a body.
[1:27:47.160 --> 1:27:49.160]  What do you want?
[1:27:49.160 --> 1:27:51.160]  How about that?
[1:27:51.160 --> 1:27:53.160]  Sure.
[1:27:53.160 --> 1:27:55.160]  Okay.
[1:27:55.160 --> 1:27:57.160]  What do you want?
[1:27:57.160 --> 1:27:59.160]  What is your point?
[1:27:59.160 --> 1:28:01.160]  Well, that's America.
[1:28:01.160 --> 1:28:03.160]  You just saw the camera shut off.
[1:28:03.160 --> 1:28:05.160]  He was told if he did any more videotaping,
[1:28:05.160 --> 1:28:07.160]  he'd be going to jail.
[1:28:07.160 --> 1:28:09.160]  And there's the police officer
[1:28:09.160 --> 1:28:11.160]  that told him to turn his camera off.
[1:28:11.160 --> 1:28:13.160]  Getting multiple visitations
[1:28:13.160 --> 1:28:15.160]  for walking down one of the main streets
[1:28:15.160 --> 1:28:17.160]  of Hebron, Maryland, in the state
[1:28:17.160 --> 1:28:19.160]  where Sheldon Green lives.
[1:28:21.160 --> 1:28:23.160]  I've gotten a chance to get to know Sheldon
[1:28:23.160 --> 1:28:25.160]  long distance since I got this tape
[1:28:25.160 --> 1:28:27.160]  almost a year ago.
[1:28:27.160 --> 1:28:29.160]  He's a great guy.
[1:28:29.160 --> 1:28:31.160]  Being treated like a criminal.
[1:28:31.160 --> 1:28:33.160]  For only asking questions
[1:28:33.160 --> 1:28:35.160]  and videotaping the
[1:28:35.160 --> 1:28:37.160]  urban warfare training
[1:28:37.160 --> 1:28:39.160]  and disarmament scenario,
[1:28:39.160 --> 1:28:41.160]  turn your camera off
[1:28:41.160 --> 1:28:43.160]  while the Marines
[1:28:43.160 --> 1:28:45.160]  check out your truck.
[1:28:45.160 --> 1:28:47.160]  They're in black and white
[1:28:47.160 --> 1:28:49.160]  night vision video for you.
[1:28:49.160 --> 1:28:51.160]  Well, here we are
[1:28:51.160 --> 1:28:53.160]  in Northern California in Oakland.
[1:28:53.160 --> 1:28:55.160]  And Marines
[1:28:55.160 --> 1:28:57.160]  have come in for Operation Urban Warrior.
[1:28:57.160 --> 1:28:59.160]  What should be deemed operation
[1:28:59.160 --> 1:29:01.160]  desensitization of the population.
[1:29:01.160 --> 1:29:03.160]  And they have the role players.
[1:29:03.160 --> 1:29:05.160]  They have their fake camp
[1:29:05.160 --> 1:29:07.160]  set up. You name it.
[1:29:07.160 --> 1:29:09.160]  We're going to take you in
[1:29:09.160 --> 1:29:15.160]  for a moment.
[1:30:09.160 --> 1:30:19.160]  We're going to take you in for a moment.
[1:30:19.160 --> 1:30:29.160]  We're going to take you in for a moment.
[1:30:29.160 --> 1:30:39.160]  We're going to take you in for a moment.
[1:30:39.160 --> 1:30:49.160]  We're going to take you in for a moment.
[1:30:49.160 --> 1:30:57.160]  We're going to take you in for a moment.
[1:30:57.160 --> 1:31:03.160]  We're going to take you in for a moment.
[1:31:33.160 --> 1:31:35.160]  They're preparing people for what is coming,
[1:31:35.160 --> 1:31:37.160]  not what is being presented today.
[1:31:37.160 --> 1:31:39.160]  So you're saying they're preparing people
[1:31:39.160 --> 1:31:41.160]  to accept it with incrementalism.
[1:31:41.160 --> 1:31:43.160]  That is correct. Like the old frog example.
[1:31:43.160 --> 1:31:45.160]  You put the frog in the water
[1:31:45.160 --> 1:31:47.160]  and you just gradually
[1:31:47.160 --> 1:31:49.160]  continue to raise the heat on the water
[1:31:49.160 --> 1:31:51.160]  until the frog is cooked.
[1:31:51.160 --> 1:31:53.160]  That's the way it works.
[1:31:53.160 --> 1:31:55.160]  The problem is that the local people,
[1:31:55.160 --> 1:31:57.160]  people in general,
[1:31:57.160 --> 1:31:59.160]  just will not take their
[1:31:59.160 --> 1:32:01.160]  heads out of the sand.
[1:32:01.160 --> 1:32:03.160]  They don't realize that when the head is in the sand,
[1:32:03.160 --> 1:32:05.160]  the other part of the body
[1:32:05.160 --> 1:32:07.160]  is totally exposed to problems.
[1:32:07.160 --> 1:32:09.160]  I don't care.
[1:32:09.160 --> 1:32:11.160]  If I'm just the only person screaming
[1:32:11.160 --> 1:32:13.160]  like the voice in the wilderness,
[1:32:13.160 --> 1:32:15.160]  if I'm only the
[1:32:15.160 --> 1:32:17.160]  Paul Revere of Oakland,
[1:32:17.160 --> 1:32:19.160]  I'm going to tell everyone I can,
[1:32:19.160 --> 1:32:21.160]  listen, we have a serious problem.
[1:32:21.160 --> 1:32:23.160]  It's called the police state.
[1:32:23.160 --> 1:32:25.160]  After all the evidence
[1:32:25.160 --> 1:32:27.160]  you've seen the last hour and a half,
[1:32:27.160 --> 1:32:29.160]  how could you deny what's going on?
[1:32:29.160 --> 1:32:31.160]  Well, if this hasn't convinced you,
[1:32:31.160 --> 1:32:33.160]  get ready. Local police
[1:32:33.160 --> 1:32:35.160]  in Alameda and Oakland,
[1:32:35.160 --> 1:32:37.160]  working with the military, the US military,
[1:32:37.160 --> 1:32:39.160]  the US Marine Corps and urban warrior,
[1:32:39.160 --> 1:32:41.160]  as well as foreign troops,
[1:32:41.160 --> 1:32:43.160]  ladies and gentlemen.
[1:32:43.160 --> 1:32:45.160]  That's right. Foreign troops,
[1:32:45.160 --> 1:32:47.160]  right there on your screen,
[1:32:47.160 --> 1:32:49.160]  and having, speaking of screens,
[1:32:49.160 --> 1:32:51.160]  computers, satellites, tracking,
[1:32:51.160 --> 1:32:53.160]  watching, meanwhile,
[1:32:53.160 --> 1:32:55.160]  the cameras are going up.
[1:32:55.160 --> 1:32:57.160]  It's time for us all to realize
[1:32:57.160 --> 1:32:59.160]  what's happening here.
[1:32:59.160 --> 1:33:01.160]  There you have it, tracking
[1:33:01.160 --> 1:33:03.160]  the population.
[1:33:03.160 --> 1:33:05.160]  My friends, this is totally
[1:33:05.160 --> 1:33:07.160]  unconstitutional, and looking at a
[1:33:07.160 --> 1:33:09.160]  historical reference, it is terrifying
[1:33:09.160 --> 1:33:11.160]  to see military working with
[1:33:11.160 --> 1:33:13.160]  police, then you add in foreign troops,
[1:33:13.160 --> 1:33:15.160]  paid actors saying, we're Americans,
[1:33:15.160 --> 1:33:17.160]  you can't do this to us.
[1:33:17.160 --> 1:33:19.160]  They're conditioning the police,
